amenities,bathroom,bedroom,furnishing,location,parking,price,property_name,property_type,sale_rent,size,url
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Water Supply,Post Office,Banks",,,,"Savar , Dhaka",,7.50 Lac,Krishibid Valley,Residential Plot,Sale, 3 Katha ,https://www.bdhousing.com/details/243590/3-katha-ready-residential-plot-for-sale-at-savar
"Mosque/Prayer Room,Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Garden,Solar panels",03,03,"
                Furnished        ","Bashundhara R/A , Dhaka",Parking 1,Call for price,bddl Sakir's Dell,Apartment/Flats,Sale, 1480 sqft ,https://www.bdhousing.com/details/245072/3-beds-ready-apartment-flats-sale-bashundhara
"Security,Lift,Fire exit,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Pool,Garden,Solar panels,Servent Toilet,Fire Protection",04,04,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 1,Call for price,Anwar Landmark Salahuddin Garden,Apartment/Flats,Sale, 2540 sqft ,https://www.bdhousing.com/details/244689/2300-2600-sqft-4-beds-apartment-flats-sale-bashundhara
"Security,Lift,Fire exit,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Garden,Solar panels,Servent Room,Servent Toilet,Fire Protection",04,04,"
                Unfurnished        ","Uttara , Dhaka",Parking 1,Call for price,Anwar Landmark Iris,Apartment/Flats,Sale, 1925 sqft ,https://www.bdhousing.com/details/244679/1925-sqft-4-beds-upcoming-apartment-flats-for-sale-at-uttara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Unfurnished        ","Banasree , Dhaka",Parking 1,Call for price,Hyperion Park View,Apartment/Flats,Sale, 1690 sqft ,https://www.bdhousing.com/details/241776/1690-sqft-3-beds-under-construction-apartment-flats-for-sale-at-banasree
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Garden,Solar panels,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Unfurnished        ","Mirpur DOHS , Dhaka",Parking 1,Call for price,Anwar Landmark Neelkantho,Apartment/Flats,Sale, 2150 sqft ,https://www.bdhousing.com/details/245777/2150-sqft-3-beds-flats-for-sale-at-dohs-road-mirpur
"Security,Lift,WASA connection,Self Water supply,Gas Connection,Electricity,Generator,Inter com",03,03,"
                Unfurnished        ","Uttara , Dhaka",Parking 1,BDT 1.22 Cr.,Crescent Villa-210-1484,Apartment/Flats,Sale, 1484 sqft ,https://www.bdhousing.com/details/245385/1484-sqft-flat-sale-uttara
"Lift,Fire exit,WASA connection,Self Water supply,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Security Alarm System,Electronic security,Servent Room,Servent Toilet,Fire Protection",04,04,"
                Unfurnished        ","Basabo , Dhaka",Parking 1,Call for price,Evening Lights,Apartment/Flats,Sale, 2250 sqft ,https://www.bdhousing.com/details/245434/4-beds-apartment-flats-sale-basabo
"Security,Lift,Fire exit,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,Security Alarm System,Electronic security,Servent Room,Servent Toilet,Fire Protection",04,03,"
                Unfurnished        ","Uttara , Dhaka",Parking 1,BDT 2.37 Cr.,Acme Zakia Abode,Apartment/Flats,Sale, 1815 sqft ,https://www.bdhousing.com/details/244732/1815-sqft-3-beds-under-construction-apartment-flats-for-sale-at-uttara-4
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,,"Lalmatia , Dhaka",Parking 1,Call for price,Navana Saleh Sylvatica,Apartment/Flats,Sale, 1771 sqft ,https://www.bdhousing.com/details/233108/1771-sqft-3-beds-under-construction-flats-for-sale-at-lalmatia
