area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,floor,floor_type,location,parking_space,price_per_sft,property_type
850,1,2,2,1,5th,,"Uttara West, Dhaka, Bangladesh",,"6,705.88৳",Apartment
1422,2,2,3,1,3rd,,"Mirpur, Dhaka, Bangladesh",1,"8,000.00৳",Apartment
1255,2,2,3,1,3rd,,"Mirpur, Dhaka, Bangladesh",1,"8,000.00৳",Apartment
1539,2,1,3,1,3rd,,"Banashree, Dhaka, Bangladesh",,"12,500.00৳",Apartment
1390,2,,3,1,1st,,"Uttara West, Dhaka, Bangladesh",1,"9,352.52৳",Apartment
1360,2,2,3,1,3rd,,"Mirpur, Dhaka, Bangladesh",1,"6,200.00৳",Apartment
1800,3,4,4,1,4th,,"Mirpur, Dhaka, Bangladesh",1,"6,111.11৳",Apartment
940,1,1,2,1,3rd,,"Mirpur, Dhaka, Bangladesh",1,"8,000.00৳",Apartment
1200,2,3,3,1,2nd,,"Mirpur, Dhaka, Bangladesh",1,"80,00,000.00৳",Apartment
1000,3,2,3,1,3rd,,"Uttara West, Dhaka, Bangladesh",,"7,000.00৳",Apartment
1360,2,2,3,1,2nd,,"Mirpur, Dhaka, Bangladesh",1,"6,200.00৳",Apartment
1360,2,2,3,1,1st,,"Mirpur, Dhaka, Bangladesh",1,"6,200.00৳",Apartment
1310,2,1,3,1,13th,,"Mirpur, Dhaka, Bangladesh",,"5,343.51৳",Apartment
1350,2,3,3,1,1st,,"Mirpur, Dhaka, Bangladesh",1,"5,555.50৳",Apartment
3470,4,4,4,1,7th,,"Uttara West, Dhaka, Bangladesh",1,"3,80,00,000.00৳",Apartment
1500,2,,3,1,1st,,"Badda, Dhaka, Bangladesh",1,"9,000.00৳",Apartment
4850,5,1,5,,10th,,"Dhanmondi, Dhaka, Bangladesh",2,"18,144.33৳",Apartment
728,1,,2,1,2nd,,"Gulshan 2, Dhaka, Bangladesh",1,"6,457.00৳",Apartment
1700,1,2,3,1,1st,,"Ramna, Dhaka, Bangladesh",1,"7,647.06৳",Apartment
1050,1,1,3,1,8th,,"Sabujbag, Dhaka, Bangladesh",,"7,619.00৳",Apartment
1200,2,2,3,1,5th,,"Mirpur, Dhaka, Bangladesh",,Negotiable,Apartment
1210,1,2,3,1,2nd,,"Sabujbag, Dhaka, Bangladesh",1,"5,800.00৳",Apartment
