area,attach_bathrooms,bedrooms,common_bathrooms,floor,floor_type,location,price_per_sft
1539,2,3,1,3rd,1,"Banashree, Dhaka, Bangladesh","12,500.00৳"
1360,2,3,1,3rd,Tiled,"Mirpur, Dhaka, Bangladesh","6,200.00৳"
1422,2,3,1,3rd,Tiled,"Mirpur, Dhaka, Bangladesh","8,000.00৳"
3470,4,4,1,7th,4,"Uttara West, Dhaka, Bangladesh","3,80,00,000.00৳"
940,1,2,1,3rd,Tiled,"Mirpur, Dhaka, Bangladesh","8,000.00৳"
1255,2,3,1,3rd,Tiled,"Mirpur, Dhaka, Bangladesh","8,000.00৳"
1200,2,3,1,5th,Tiled,"Mirpur, Dhaka, Bangladesh",Negotiable
1390,2,3,1,1st,Tiled,"Uttara West, Dhaka, Bangladesh","9,352.52৳"
1360,2,3,1,2nd,Tiled,"Mirpur, Dhaka, Bangladesh","6,200.00৳"
1800,3,4,1,4th,Tiled,"Mirpur, Dhaka, Bangladesh","6,111.11৳"
1360,2,3,1,1st,Tiled,"Mirpur, Dhaka, Bangladesh","6,200.00৳"
1200,2,3,1,2nd,Tiled,"Mirpur, Dhaka, Bangladesh","80,00,000.00৳"
1500,2,3,1,1st,Tiled,"Badda, Dhaka, Bangladesh","9,000.00৳"
1050,1,3,1,8th,Tiled,"Sabujbag, Dhaka, Bangladesh","7,619.00৳"
4850,5,5,Room,10th,2,"Dhanmondi, Dhaka, Bangladesh","18,144.33৳"
950,1,3,1,3rd,Tiled,"Sutrapur, Dhaka, Bangladesh","5,000.00৳"
728,1,2,1,2nd,1,"Gulshan 2, Dhaka, Bangladesh","6,457.00৳"
1800,2,4,1,14th,3,"Paltan, Dhaka, Bangladesh","11,667.00৳"
1600,2,3,1,4th,Tiled,"Badda, Dhaka, Bangladesh","7,500.00৳"
1310,2,3,1,13th,Tiled,"Mirpur, Dhaka, Bangladesh","5,343.51৳"
1700,1,3,1,1st,2,"Ramna, Dhaka, Bangladesh","7,647.06৳"
1210,1,3,1,2nd,Tiled,"Sabujbag, Dhaka, Bangladesh","5,800.00৳"
1350,2,3,1,1st,Tiled,"Mirpur, Dhaka, Bangladesh","5,555.50৳"
3200,3,3,1,2nd,3,"Gulshan 1, Dhaka, Bangladesh","15,000.00৳"
2030,3,4,1,5th,Tiled,"Aftabnagar, Dhaka, Bangladesh","7,500.00৳"
1250,3,3,1,1st,3,"Farmgate, Dhaka, Bangladesh","7,500.00৳"
1450,2,3,1,4th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","8,000.00৳"
1230,2,3,1,1st,Tiled,"Basabo, Dhaka, Bangladesh","8,800.00৳"
1300,2,3,1,4th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","11,538.00৳"
2,1,1,1,2nd,1,"Adabor, Dhaka, Bangladesh","10,000.00৳"
2513,2,3,1,4th,3,"Baridhara, Dhaka, Bangladesh","9,500.00৳"
975,1,2,1,1st,Tiled,"Dhanmondi, Dhaka, Bangladesh","8,717.95৳"
1760,2,3,1,8th,4,"Farmgate, Dhaka, Bangladesh","9,090.90৳"
1793,2,3,1,3rd,2,"Uttara East, Dhaka, Bangladesh","8,090.00৳"
1450,2,3,1,2nd,2,"Bashundhara RA, Dhaka, Bangladesh","7,931.00৳"
2019,2,3,1,3rd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","7,430.00৳"
1200,1,3,2,6th,Tiled,"Khilgaon, Dhaka, Bangladesh","4,850.00৳"
3000,4,4,1,2nd,1,"DOHS Mohakhali, Dhaka, Bangladesh","14,500.00৳"
1600,2,3,1,5th,Tiled,"Aftabnagar, Dhaka, Bangladesh","7,500.00৳"
3500,3,4,1,8th,3,"Gulshan 2, Dhaka, Bangladesh","24,285.71৳"
2680,2,4,1,3rd,3,"Banani, Dhaka, Bangladesh","14,067.16৳"
1200,2,3,1,8th,Tiled,"Aftabnagar, Dhaka, Bangladesh","7,500.00৳"
1500,2,3,1,4th,Tiled,"Jatrabari, Dhaka, Bangladesh","8,000.00৳"
1951,3,3,1,3rd,4,"Uttara East, Dhaka, Bangladesh","10,300.00৳"
1565,2,3,1,3rd,3,"Uttara West, Dhaka, Bangladesh","6,071.00৳"
1500,2,4,1,3rd,Tiled,"Banashree, Dhaka, Bangladesh","6,500.00৳"
1650,2,3,Space,4th,1,"Banashree, Dhaka, Bangladesh","7,000.00৳"
1200,2,3,1,2nd,Tiled,"Banashree, Dhaka, Bangladesh","5,800.00৳"
1250,2,3,1,1st,Tiled,"Mohammadpur , Dhaka, Bangladesh","6,000.00৳"
1500,2,3,1,2nd,Tiled,"Dhanmondi, Dhaka, Bangladesh","2,600.00৳"
975,2,2,1,4th,Tiled,"Aftabnagar, Dhaka, Bangladesh","8,718.00৳"
1220,2,3,1,9th,Tiled,"Shyamoli, Dhaka, Bangladesh","5,901.64৳"
3000,4,4,Space,3rd,Tiled,"DOHS Mohakhali, Dhaka, Bangladesh",Negotiable
900,1,2,1,6th,Tiled,"Nikunja, Dhaka, Bangladesh","5,556.00৳"
20250,3.00,3,3,8,Tiled,"Bashundhara RA, Dhaka, Bangladesh","8,395.00৳"
973,1,3,1,5th,,"Mirpur, Dhaka, Bangladesh","4,111.00৳"
2350,2,4,1,7th,Tiled,"DOHS Mirpur, Dhaka, Bangladesh","12,500.00৳"
1200,2,3,1,2nd,Tiled,"Khilgaon, Dhaka, Bangladesh","5,000.00৳"
1135,1,3,1,5th,Tiled,"Banashree, Dhaka, Bangladesh","10,132.16৳"
2200,3,3,1,7th,Tiled,"Tejgaon, Dhaka, Bangladesh","8,500.00৳"
1550,2,3,1,8th,Tiled,"Pallabi , Dhaka, Bangladesh","6,774.19৳"
3060,3,3,1,6th,3,"Banani, Dhaka, Bangladesh","1,750.00৳"
1065,2,3,1,3rd,Tiled,"Wari, Dhaka, Bangladesh","9,390.00৳"
830,1,2,1,4th,Tiled,"Mohammadpur , Dhaka, Bangladesh","5,602.00৳"
1238,1,2,1,4th,Tiled,"Vatara , Dhaka, Bangladesh","5,008.07৳"
1450,2,3,1,4th,Tiled,"Badda, Dhaka, Bangladesh","5,000.00৳"
13489,4,4,1,1st,Tiled,"Bashundhara RA, Dhaka, Bangladesh","10,500.00৳"
2180,3,4,1,7th,4,"Bashundhara RA, Dhaka, Bangladesh","8,500.00৳"
1200,2,3,1,3rd,Tiled,"Mirpur, Dhaka, Bangladesh","6,667.00৳"
866,1,2,1,1st,Tiled,"Nikunja, Dhaka, Bangladesh","7,622.00৳"
1700,3,4,1,4th,Tiled,"Mohammadpur , Dhaka, Bangladesh","8,500.00৳"
2248,2,3,1,6th,3,"DOHS Mirpur, Dhaka, Bangladesh","16,015.00৳"
900,1,2,1,6th,Tiled,"Nikunja, Dhaka, Bangladesh","5,556.00৳"
1560,3,3,Space,Ground,,"Gulshan 1, Dhaka, Bangladesh",Negotiable
1750,2,3,1,Ground,Tiled,"Banashree, Dhaka, Bangladesh","8,572.00৳"
1050,2,3,1,6th,Tiled,"Mohammadpur , Dhaka, Bangladesh",Negotiable
13,3962,40.00,59,3rd,Space,"Vatara , Dhaka, Bangladesh","11,500.00৳"
1395,2,3,1,5th,,"Banashree, Dhaka, Bangladesh","7,300.00৳"
1250,3,3,Space,4th,1,"Bashundhara RA, Dhaka, Bangladesh","10,000.00৳"
1263,2,3,1,7th,Tiled,"Basabo, Dhaka, Bangladesh","7,126.00৳"
5000,6,4,Space,4th,,"Malibagh, Dhaka, Bangladesh","12,000.00৳"
1200,2,3,1,6th,Tiled,"Uttara West, Dhaka, Bangladesh","9,270.00৳"
850,1,3,1,6th,Tiled,"Mirpur, Dhaka, Bangladesh","5,530.00৳"
1275,4,3,1,1st,Tiled,"Savar, Dhaka, Bangladesh","4,000.00৳"
1520,2,3,1,1st,Tiled,"Mohammadpur , Dhaka, Bangladesh","5,700.00৳"
750,1,2,1,5th,Tiled,"Motijheel, Dhaka, Bangladesh","8,000.00৳"
1350,3,3,Space,5th,1,"Bashundhara RA, Dhaka, Bangladesh","9,630.00৳"
1600,2,3,1,7th,Tiled,"Mohammadpur , Dhaka, Bangladesh","9,500.00৳"
1250,2,3,1,6th,Tiled,"Baridhara, Dhaka, Bangladesh","4,700.00৳"
2150,3,4,1,3rd,4,"Bashundhara RA, Dhaka, Bangladesh",Negotiable
1580,2,3,1,5th,Tiled,"Mohammadpur , Dhaka, Bangladesh","5,600.00৳"
1420,2,3,1,10th,Tiled,"Dhanmondi, Dhaka, Bangladesh","7,500.00৳"
1057,1,3,1,6th,Tiled,"Mirpur, Dhaka, Bangladesh","5,500.00৳"
1050,2,3,Space,6th,,"Rampura, Dhaka, Bangladesh",Negotiable
1297,2,3,1,6th,Tiled,"Mirpur, Dhaka, Bangladesh","5,500.00৳"
2000,4,4,Space,3rd,,"Baridhara, Dhaka, Bangladesh",Negotiable
2250,3,3,Space,4th,Tiled,"Gulshan 2, Dhaka, Bangladesh","16,000.00৳"
1300,2,3,Space,7th,Tiled,"DOHS Mohakhali, Dhaka, Bangladesh",Negotiable
1900,3,3,1,7th,3,"Baridhara, Dhaka, Bangladesh","7,895.00৳"
1900,3,3,1,1st,3,"Baridhara, Dhaka, Bangladesh","7,895.00৳"
1290,3,3,Space,1st,,"Mirpur, Dhaka, Bangladesh","5,500.00৳"
10,375,10.00,168,4th,Space,"Bashundhara RA, Dhaka, Bangladesh",Negotiable
2180,3,4,Space,1st,Tiled,"Bashundhara RA, Dhaka, Bangladesh","10,466.00৳"
2165,3,3,Space,7th,Tiled,"Gulshan 2, Dhaka, Bangladesh",Negotiable
1350,2,3,1,4th,Tiled,"Savar, Dhaka, Bangladesh","5,500.00৳"
4000,4,4,Space,10th,Tiled,"Gulshan 2, Dhaka, Bangladesh","25,000.00৳"
6500,5,5,Space,1st,3,"Gulshan 1, Dhaka, Bangladesh","18,462.00৳"
4000,4,3,Space,6th,Tiled,"Gulshan 2, Dhaka, Bangladesh","25,000.00৳"
1896,2,3,1,1st,2,"Dhanmondi, Dhaka, Bangladesh",Negotiable
1200,2,3,1,5th,Tiled,"Aftabnagar, Dhaka, Bangladesh","6,500.00৳"
1300,3,3,Space,5th,1,"Mirpur, Dhaka, Bangladesh","5,385.00৳"
1150,3,3,Space,3rd,1,"Adabor, Dhaka, Bangladesh","6,300.00৳"
450,1,2,Space,1st,,"Mohammadpur , Dhaka, Bangladesh",Negotiable
1150,3,3,Space,7th,1,"Adabor, Dhaka, Bangladesh","6,300.00৳"
2360,3,3,Space,2nd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","9,577.00৳"
1440,3,3,1,2nd,Tiled,"Aftabnagar, Dhaka, Bangladesh","7,640.00৳"
1250,2,3,1,7th,Tiled,"Aftabnagar, Dhaka, Bangladesh","6,500.00৳"
2400,3,4,1,4th,Tiled,"Banani, Dhaka, Bangladesh",Negotiable
1625,2,3,1,2nd,Tiled,"Dhanmondi, Dhaka, Bangladesh",Negotiable
1300,2,3,Space,9th,1,"Aftabnagar, Dhaka, Bangladesh",Negotiable
1950,3,3,Space,5th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","9,488.00৳"
1050,2,3,Space,4th,1,"Mirpur, Dhaka, Bangladesh","4,100.00৳"
1400,2,3,1,2nd,Tiled,"Aftabnagar, Dhaka, Bangladesh","6,429.00৳"
1350,3,3,Space,1st,1,"Baridhara, Dhaka, Bangladesh","5,926.00৳"
1870,3,3,Space,2nd,1,"Baridhara, Dhaka, Bangladesh","11,230.00৳"
1250,3,3,Space,4th,,"Mirpur, Dhaka, Bangladesh","6,800.00৳"
1100,2,3,1,6th,Tiled,"Badda, Dhaka, Bangladesh","7,000.00৳"
2430,3,3,1,3rd,Tiled,"Banani, Dhaka, Bangladesh","15,000.00৳"
4070,4,4,Space,10th,Tiled,"Gulshan 2, Dhaka, Bangladesh","19,657.00৳"
950,2,2,Space,5th,1,"Mirpur, Dhaka, Bangladesh","4,210.00৳"
2000,3,3,Space,7th,1,"Bashundhara RA, Dhaka, Bangladesh","7,500.00৳"
1050,2,3,Space,2nd,,"Mirpur, Dhaka, Bangladesh","4,286.00৳"
2600,3,3,Space,4th,Tiled,"Baridhara, Dhaka, Bangladesh","23,077.00৳"
2200,3,3,1,1st,Tiled,"DOHS Mirpur, Dhaka, Bangladesh",Negotiable
4,3,3,Space,4th,,"Uttara West, Dhaka, Bangladesh","1,50,00,000.00৳"
1350,2,3,Space,1st,1,"DOHS Mohakhali, Dhaka, Bangladesh","14,445.00৳"
15,1120,45.00,204,15th,Room,"Kadamtali, Dhaka, Bangladesh","3,800.00৳"
2375,2,4,1,3rd,4,"Bashundhara RA, Dhaka, Bangladesh","8,000.00৳"
2300,3,3,1,1st,2,"DOHS Mirpur, Dhaka, Bangladesh",Negotiable
2175,3,3,1,1st,Tiled,"DOHS Mirpur, Dhaka, Bangladesh",Negotiable
1150,2,3,Space,8th,,"Badda, Dhaka, Bangladesh","5,700.00৳"
2150,2,3,1,4th,Tiled,"DOHS Mirpur, Dhaka, Bangladesh",Negotiable
2250,3,3,1,5th,4,"Bashundhara RA, Dhaka, Bangladesh","7,778.00৳"
2220,3,3,Space,2nd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","9,460.00৳"
3150,4,4,Space,1st,Tiled,"Bashundhara RA, Dhaka, Bangladesh","9,525.00৳"
2525,3,3,Space,5th,1,"Kakrail, Dhaka, Bangladesh","8,713.00৳"
1300,2,3,1,5th,Tiled,"Badda, Dhaka, Bangladesh","5,000.00৳"
1850,3,4,1,3rd,Tiled,"Dhanmondi, Dhaka, Bangladesh","5,000.00৳"
1635,2,3,1,4th,Tiled,"Kalabagan, Dhaka, Bangladesh","10,704.00৳"
2150,3,3,Space,3rd,Tiled,"Baridhara, Dhaka, Bangladesh","20,931.00৳"
6550,5,5,Space,2nd,Tiled,"Gulshan 1, Dhaka, Bangladesh","18,321.00৳"
2000,3,3,Space,1st,Tiled,"Banani, Dhaka, Bangladesh","12,000.00৳"
1350,2,4,1,3rd,Tiled,"Dhanmondi, Dhaka, Bangladesh","5,926.00৳"
1450,3,3,1,5th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,070.00৳"
2930,3,3,1,6th,4,"Gulshan 2, Dhaka, Bangladesh","18,000.00৳"
2000,3,4,Space,5th,1,"Bashundhara RA, Dhaka, Bangladesh","11,000.00৳"
2000,3,3,Space,3rd,Tiled,"Niketan, Dhaka, Bangladesh","12,000.00৳"
2000,3,3,Space,9th,Tiled,"Niketan, Dhaka, Bangladesh",Negotiable
2160,3,3,Space,4th,1,"Mirpur, Dhaka, Bangladesh","4,100.00৳"
2600,3,4,1,2nd,3,"DOHS Mohakhali, Dhaka, Bangladesh","12,500.00৳"
2000,2,3,1,9th,2,"Niketan, Dhaka, Bangladesh","12,500.00৳"
1700,4,5,1,2nd,Tiled,"Mirpur, Dhaka, Bangladesh","4,118.00৳"
1137,2,3,1,4th,Tiled,"Mirpur, Dhaka, Bangladesh","7,500.00৳"
1200,2,3,1,4th,1,"Niketan, Dhaka, Bangladesh","7,500.00৳"
2130,2,3,1,10th,2,"Banani, Dhaka, Bangladesh","11,738.00৳"
2335,3,3,Space,3rd,Tiled,"Banani, Dhaka, Bangladesh","16,500.00৳"
2075,3,3,Space,5th,Tiled,"Banani, Dhaka, Bangladesh","9,000.00৳"
3,10th,3,Space,2380,1,"Banani, Dhaka, Bangladesh",Negotiable
2290,2,3,1,4th,4,"Bashundhara RA, Dhaka, Bangladesh","10,000.00৳"
2150,3,3,Space,5th,1,"Bashundhara RA, Dhaka, Bangladesh","6,977.00৳"
1250,2,3,1,1st,Tiled,"Niketan, Dhaka, Bangladesh","7,500.00৳"
2220,2,3,1,2nd,4,"Bashundhara RA, Dhaka, Bangladesh","9,000.00৳"
2100,3,4,1,4th,2,"Bashundhara RA, Dhaka, Bangladesh","7,500.00৳"
